Order ID,Payment Method,Card Issuer
1543817,cashless,REVOLUT LTD
1553817,cashless,MONTEPIO GERAL - CAIXA ECONOMI
1563817,cashless,BANCO COMERCIAL PORTUGUES S.A.
1573817,cashless,BANCO SANTANDER TOTTA S.A.
1583817,cashless,NOVO BANCO S.A.
1593817,cashless,CAIXABANK PAYMENTS & CONSUMER E.F.C. E.P. S.A.U.
1603817,cashless,DEUTSCHE KREDITBANK AG
1613818,cashless,BANCO COMERCIAL PORTUGUES S.A.
1623818,cashless,CAIXA ECONOMICA MONTEPIO GERAL
1633818,cashless,NOVO BANCO S.A.
201318,cashless,SUTTON BANK
1643818,cashless,BANCO COMERCIAL PORTUGUES S.A.
1653818,cashless,MONTEPIO GERAL - CAIXA ECONOMI
1663818,cashless,CAIXABANK PAYMENTS & CONSUMER E.F.C. E.P. S.A.U.
1673818,cashless,REVOLUT LTD
1683818,cashless,CAIXA GERAL DE DEPOSITOS S.A.
1693818,cashless,NOVO BANCO S.A.
1703819,cashless,BANCO COMERCIAL PORTUGUES S.A.
1713819,cashless,BANCO SANTANDER TOTTA S.A.
1723819,cashless,ING-DIBA AG
1733819,cashless,CAIXA GERAL DE DEPOSITOS S.A.
211319,cash,
1743819,cashless,BANCO SANTANDER TOTTA S.A.
1753819,cashless,MONTEPIO GERAL - CAIXA ECONOMI
1763819,cashless,BANCO SANTANDER TOTTA S.A.
1773819,cashless,NOVO BANCO S.A.
1783819,cashless,CAIXA CENTRAL DE CREDITO AGRIC
1793820,cashless,MONTEPIO GERAL - CAIXA ECONOMI
1803820,cashless,NOVO BANCO S.A.
1813820,cashless,BANCO COMERCIAL PORTUGUES S.A.
1823820,cashless,CAIXA GERAL DE DEPOSITOS S.A.
1833820,cashless,CAIXA GERAL DE DEPOSITOS S.A.
1843820,cashless,"SFS -FINANCIAL SERVICES, IME,"
1853820,cashless,BANCO SANTANDER TOTTA S.A.
1863820,cashless,MONTEPIO GERAL - CAIXA ECONOMI
221320,cashless,
1873820,cashless,CAIXA GERAL DE DEPOSITOS SA
1883821,cashless,DEUTSCHE BANK AG
1893821,cashless,BANCO SANTANDER TOTTA S.A.
231321,cashless,
1903821,cashless,"SFS -FINANCIAL SERVICES, IME,"
1913821,cashless,BANCO SANTANDER TOTTA S.A.
1923821,cashless,CAIXA GERAL DE DEPOSITOS S.A.
1933821,cashless,CAIXA GERAL DE DEPOSITOS S.A.
1943821,cashless,MONTEPIO GERAL - CAIXA ECONOMI
1953821,cashless,DEUTSCHE BANK AG
1963821,cashless,CAIXA GERAL DE DEPOSITOS S.A.
1973822,cashless,BANCO SANTANDER TOTTA S.A.
1983822,cashless,CAIXA GERAL DE DEPOSITOS S.A.
1993822,cashless,BANCO COMERCIAL PORTUGUES S.A.
2003822,cashless,BANCO SANTANDER TOTTA S.A.
2013822,cashless,CAIXA GERAL DE DEPOSITOS S.A.
2023822,cashless,TRANSFERWISE LTD
2033822,cashless,FORENINGEN AF DANSKE KORTUDSTEDERE F.M.B.A
2043822,cashless,CAIXA ECONOMICA MONTEPIO GERAL
2053822,cashless,NOVO BANCO S.A.
2063822,cashless,BANCO CTT S.A.
2073823,cashless,CAIXA GERAL DE DEPOSITOS S.A.
2083823,cashless,CAIXA ECONOMICA MONTEPIO GERAL
2093823,cashless,REVOLUT PAYMENTS UAB
2103823,cashless,CAIXABANK PAYMENTS & CONSUMER E.F.C. E.P. S.A.U.
2113823,cashless,N26 GMBH
2123823,cashless,BANCO COMERCIAL PORTUGUES S.A.
241323,cash,
2133823,cashless,NATIONAL WESTMINSTER BANK PLC
2143823,cashless,CAIXA GERAL DE DEPOSITOS SA
2153823,cashless,BANCO COMERCIAL PORTUGUES S.A.
2163824,cashless,BANCO SANTANDER TOTTA S.A.
2173824,cashless,MONTEPIO GERAL - CAIXA ECONOMI
2183824,cashless,BPCE
2193824,cashless,NOVO BANCO S.A.
2203824,cashless,CAIXA GERAL DE DEPOSITOS SA
